Full Name,University ID,Course Code,Course Time,Doctor/TA Name,University Email
test student one,2023/11111,SWE211,9:00 - 10:30,dr nermin,test1@miuegypt.edu.eg
Test Student Two,2023/22222,CSC210,11:00 - 12:30,Prof.,test2@miuegypt.edu.eg
Test Student Three,2023/33333,BAS121,1:00 - 2:30,TA,test3@miuegypt.edu.eg
Test Student Four,2023/44444,BAS131,3:00 - 4:30,professor,test4@miuegypt.edu.eg
Test Student Five,2023/55555,SWE230,9:30 - 11:00,DOCTOR,test5@miuegypt.edu.eg
TEST STUDENT SIX,2023/66666,CSC120,2:00 - 3:30,Dr. Ahmed Hassan (Senior),test6@miuegypt.edu.eg
Test Student Seven,2023/77777,SWE212,10:00 - 11:30,Prof Sarah Wilson-Johnson,test7@miuegypt.edu.eg
Test Student Eight,2023/88888,CSC230,4:00 - 5:30,TA Ali Mohamed (Assistant),test8@miuegypt.edu.eg
Test Student Nine,2023/99999,SWE111,8:00 - 9:30,Dr Ahmed Hassan,test9@miuegypt.edu.eg
TEST STUDENT TEN,2023/10101,CSC101,5:00 - 6:30,Prof John Smith,test10@miuegypt.edu.eg
Test Student Eleven,2023/11011,INF230,1:30 - 3:00,TA Sarah Wilson,test11@miuegypt.edu.eg
