Full Name,University ID,Course Code,Course Time,Doctor/TA Name,University Email
Ahmed Hassan Ali,2023/12345,SWE212,9:00 - 10:30,Tamer Ibrahim Fathy AlMoghazi (P),ahmed.hassan@miuegypt.edu.eg
Sara Mohamed Omar,2022/23456,CSC230,11:00 - 12:30,Dr Ahmed Hassan,sara.mohamed@miuegypt.edu.eg
Omar Ali Mahmoud,2023/34567,CSC220,1:00 - 2:30,dr. Sarah Wilson,omar.ali@miuegypt.edu.eg
Fatma Youssef Ibrahim,2021/45678,SWE111,3:00 - 4:30,PROF John Smith,fatma.youssef@miuegypt.edu.eg
Khaled Mohamed Ali,2023/56789,SWE210,9:30 - 11:00,TA Mohammed Ali,khaled.mohamed@miuegypt.edu.eg
Nour Hassan Ahmed,2022/67890,INF230,2:00 - 3:30,Professor Jane Doe,nour.hassan@miuegypt.edu.eg
Mariam Ali Omar,2023/78901,CSC120,10:00 - 11:30,John Williams,mariam.ali@miuegypt.edu.eg
Youssef Ahmed Hassan,2021/89012,MRK100,4:00 - 5:30,Andrew Miller,youssef.ahmed@miuegypt.edu.eg
Amira Mohamed Ali,2023/90123,BAS112,8:00 - 9:30,dr Hassan Ahmed,amira.mohamed@miuegypt.edu.eg
Karim Omar Youssef,2022/01234,BAS111,12:00 - 1:30,DOCTOR Smith Wilson,karim.omar@miuegypt.edu.eg
