Timestamp,Full Name,University Email,University ID,Course Code,Course Time,Doctor/TA Name
3/12/2025 09:15:10,Ahmed Hassan,ahmed.hassan@miuegypt.edu.eg,2023/00001,SWE21201,1 - 2:30,Dr. Ahmed Smith
3/12/2025 09:20:42,Sara Mohamed,sara.mohamed@miuegypt.edu.eg,2022/00002,CSC23002 Lecture,11:30 - 1,TA Mariam Hassan
3/12/2025 09:33:01,Omar Nabil,omar.nabil@miuegypt.edu.eg,2023/00003,BAS11204 Lecture,12 - 2,Dr. Youssef Ali
3/12/2025 09:40:55,Mona Adel,mona.adel@miuegypt.edu.eg,2023/00004,SWE1113 Tutorial,1:30 to 3:00,Dr. Fatma Mostafa
3/12/2025 09:50:10,John Doe,john.doe@miuegypt.edu.eg,2023/00005,INF23005-LAB,1 to 2,TA Ali Samir
3/12/2025 10:05:44,Laila Mohamed,laila.mohamed@miuegypt.edu.eg,2023/00006,CSC22003,11 to 12:30,Dr. Omar Tarek
3/12/2025 10:15:20,Karim Yasser,karim.yasser@miuegypt.edu.eg,2024/00007,SWE21007-Tutorial,11:00 - 1:00,Dr. Youssef Mostafa
3/12/2025 10:22:02,Heba Ragab,heba.ragab@miuegypt.edu.eg,2023/00008,CSC12009 Lab,9:15 - 10:45,Dr. Amira Hassan
3/12/2025 10:35:11,Yasmin Ali,yasmin.ali@miuegypt.edu.eg,2023/00009,MRK10002-BUS,2 - 3:30,Prof. Ahmed Farouk
3/12/2025 10:45:59,Mahmoud Saeed,mahmoud.saeed@miuegypt.edu.eg,2022/00010,SWE21104,8:00 to 9:30,Dr. Youssef Said
