Timestamp,Full Name,University Email,University ID,Course Code,Course Time,Doctor/TA Name
3/12/2025 09:15:10,Mohamed Hesham,mohamed2300428@miuegypt.edu.eg,2023/00428,SWE11004,1:00 - 2:30,Dr. Youssef Mostafa
3/12/2025 09:20:42,Sara Ali,sara.ali@miuegypt.edu.eg,2022/00123,CS10503,11:60 - 1,TA Mariam Hassan
3/12/2025 09:33:01,Omar Nabil,omarnabil@miuegypt.edu.eg,2023/00056,BAS13104 Lecture,12 - 2,Dr. Ahmed Fathy
3/12/2025 09:40:55,Mostafa,mostafa@miuegypt.com,2023/00499,SWE11004,1:30 to 3,Dr. Youssef Mostafa
3/12/2025 09:50:10,John Doe,john.doe@miuegypt.edu.eg,2023/1000,AI10105,1 - 2,TA Ali Samir
3/12/2025 10:05:44,Laila Mohamed,laila.mohamed@miuegypt.edu.eg,2023/00101,CSX11004,11 - 12:30,Dr. Omar Tarek
3/12/2025 10:15:20,Karim Yasser,karim.yasser@miuegypt.edu.eg,202300077,SW11004,11 - 1:00,Dr. Youssef Mostafa
3/12/2025 10:22:02,Ahmed Ragab,ahmed.ragab@@,2023/00234,ETH10104-CSC,11:30 - 1,Dr. Youssef Mostafa
3/12/2025 10:35:11,,no.email@miuegypt.edu.eg,2023/00333,MRK10105-BUS,1:00 - 2:30,Dr. Youssef Mostafa
3/12/2025 10:45:59,Mona Adel,mona.adel@miuegypt.edu.eg,,SWE11004,2:00 - 3:3, Dr. Youssef
3/12/2025 09:15:10,Ahmed Hesham ,ahmed2500413@miuegypt.edu.eg,2023/00428,BAS13104 Tutorial,1:00 - 2:30,Dr. Youssef Mostafa
3/12/2025 09:15:10,Malak Hesham ,malak2100413@miuegypt.edu.eg,2023/00428,BAS04 Tutorial,,Dr. Youssef Mostafas
